move_id,name_es,name_en,type,category,power,accuracy,pp,priority,ailment,ailment_chance,created_at,description_es
1,Destructor,pound,normal,physical,40,100,35,0,,0,2026-03-06 13:24:47.668494+00,Golpea con las patas o la cola.
2,Golpe Kárate,karate-chop,fighting,physical,50,100,25,0,,0,2026-03-06 13:56:53.761109+00,Da un golpe cortante. Suele ser crítico.
3,Doble Bofetón,double-slap,normal,physical,15,85,10,0,,0,2026-03-06 13:24:46.366674+00,Abofetea de dos a cinco veces seguidas.
4,Puño Cometa,comet-punch,normal,physical,18,85,15,0,,0,2026-03-06 13:31:46.297195+00,Pega de dos a cinco veces seguidas.
5,Megapuño,mega-punch,normal,physical,80,85,20,0,,0,2026-03-06 13:26:47.13099+00,Un puñetazo de gran potencia.
6,Día de Pago,pay-day,normal,physical,40,100,20,0,,0,2026-03-06 13:24:13.612631+00,Arroja monedas al objetivo. Las recupera al final del combate.
7,Puño Fuego,fire-punch,fire,physical,75,100,15,0,BRN,10,2026-03-06 13:26:48.243713+00,Puñetazo ardiente. Puede quemar.
8,Puño Hielo,ice-punch,ice,physical,75,100,15,0,FRZ,10,2026-03-06 13:26:47.931983+00,Puñetazo helado. Puede congelar.
9,Puño Trueno,thunder-punch,electric,physical,75,100,15,0,PAR,10,2026-03-06 13:24:06.648416+00,Puñetazo eléctrico. Puede paralizar.
10,Arañazo,scratch,normal,physical,40,100,35,0,,0,2026-03-06 13:23:28.116876+00,Araña con afiladas garras.
11,Agarre,vice-grip,normal,physical,55,100,30,0,,0,2026-03-06 13:28:44.897043+00,Atrapa y atenaza al objetivo.
12,Guillotina,guillotine,normal,physical,,30,5,0,,0,2026-03-06 13:28:41.397303+00,Ataque con pinzas que debilita al oponente de un golpe si acierta.
13,Viento Cortante,razor-wind,normal,special,80,100,10,0,,0,2026-03-06 13:28:19.38897+00,Primero se prepara y en el segundo turno ataca al oponente con ráfagas de viento cortante. Alta probabilidad de ser crítico.
14,Danza Espada,swords-dance,normal,status,,,20,0,,0,2026-03-06 13:26:38.321349+00,Baile frenético que aumenta mucho el Ataque.
15,Corte,cut,normal,physical,50,95,30,0,,0,2026-03-06 14:14:08.070494+00,"Corta con garras, guadañas, etc. También sirve para cortar árboles finos."
16,Tornado,gust,flying,special,40,100,35,0,,0,2026-03-06 13:30:26.115207+00,Crea un tornado con las alas y lo lanza contra el objetivo.
17,Ataque Ala,wing-attack,flying,physical,60,100,35,0,,0,2026-03-06 13:23:35.879125+00,Golpea al objetivo con unas grandes alas.
18,Remolino,whirlwind,normal,status,,,20,-6,,0,2026-03-06 13:36:30.717756+00,"Se lleva al objetivo, que es cambiado por otro Pokémon. Si es un Pokémon salvaje, acaba el combate."
19,Vuelo,fly,flying,physical,90,95,15,0,,0,2026-03-06 13:29:57.211656+00,"Primer turno: vuela. Segundo turno: ataca. Fuera de combate, permite ir a sitios ya conocidos."
20,Atadura,bind,normal,physical,15,85,20,0,,100,2026-03-06 13:26:55.760971+00,Ata y oprime de cuatro a cinco turnos.
21,Atizar,slam,normal,physical,80,75,20,0,,0,2026-03-06 13:23:57.177659+00,Golpea con las extremidades.
22,Látigo Cepa,vine-whip,grass,physical,45,100,25,0,,0,2026-03-06 13:23:10.969956+00,Azota al objetivo con ramas finas.
23,Pisotón,stomp,normal,physical,65,100,20,0,,0,2026-03-06 13:25:57.632701+00,Tremendo pisotón que puede hacer retroceder al objetivo.
24,Doble Patada,double-kick,fighting,physical,30,100,30,0,,0,2026-03-06 13:24:00.231124+00,Una patada doble. Golpea dos veces.
25,Megapatada,mega-kick,normal,physical,120,75,5,0,,0,2026-03-06 13:26:40.550335+00,Patada de extrema fuerza.
26,Patada Salto,jump-kick,fighting,physical,100,95,10,0,,0,2026-03-06 13:26:42.624731+00,"Da un salto y pega una patada. Si falla, se lesiona."
27,Patada Giro,rolling-kick,fighting,physical,60,85,15,0,,0,2026-03-06 13:26:43.111095+00,Da una patada rápida y circular. Puede hacer retroceder al objetivo.
28,Ataque Arena,sand-attack,ground,status,,100,15,0,,0,2026-03-06 13:29:09.152799+00,Arroja arena a la cara y baja la Precisión.
29,Golpe Cabeza,headbutt,normal,physical,70,100,15,0,,0,2026-03-06 13:23:40.075517+00,Lanza un potente cabezazo que puede hacer retroceder al objetivo.
30,Cornada,horn-attack,normal,physical,65,100,25,0,,0,2026-03-06 13:27:52.619026+00,Ataca al objetivo con una cornada.
31,Ataque Furia,fury-attack,normal,physical,15,85,20,0,,0,2026-03-06 13:27:09.766869+00,Cornea al objetivo de dos a cinco veces.
32,Perforador,horn-drill,normal,physical,,30,5,0,,0,2026-03-06 13:27:07.773009+00,Ataque con taladro que fulmina en un golpe al objetivo si le toca.
33,Placaje,tackle,normal,physical,40,100,35,0,,0,2026-03-06 13:23:11.953542+00,Embiste con todo el cuerpo.
34,Golpe Cuerpo,body-slam,normal,physical,85,100,15,0,PAR,30,2026-03-06 13:24:45.500835+00,Salta sobre el objetivo con todo su peso. Puede paralizar.
35,Constricción,wrap,normal,physical,15,90,20,0,,100,2026-03-06 13:26:55.454985+00,Oprime al objetivo de cuatro a cinco turnos con ramas o con su cuerpo.
36,Derribo,take-down,normal,physical,90,85,20,0,,0,2026-03-06 13:23:10.391346+00,Carga desmedida que también hiere al agresor.
37,Golpe,thrash,normal,physical,120,100,10,0,,0,2026-03-06 13:26:31.10547+00,Ataca de dos a tres turnos y acaba confundiendo al agresor.
38,Doble Filo,double-edge,normal,physical,120,100,15,0,,0,2026-03-06 13:23:08.921265+00,Ataque arriesgado que también hiere al agresor.
39,Látigo,tail-whip,normal,status,,100,30,0,,0,2026-03-06 13:23:43.940824+00,Agita la cola para bajar la Defensa del equipo rival.
40,Picotazo Veneno,poison-sting,poison,physical,15,100,35,0,PSN,30,2026-03-06 13:31:58.073028+00,Lanza un aguijón tóxico que puede envenenar al objetivo.
41,Doble Ataque,twineedle,bug,physical,25,100,20,0,PSN,20,2026-03-06 14:01:05.048248+00,Pincha dos veces con dos espinas. Puede envenenar.
42,Pin Misil,pin-missile,bug,physical,25,95,20,0,,0,2026-03-06 13:29:19.72176+00,Lanza finas púas que hieren de dos a cinco veces.
43,Malicioso,leer,normal,status,,100,30,0,,0,2026-03-06 13:23:26.6189+00,Intimida a los rivales para bajar su Defensa.
44,Mordisco,bite,dark,physical,60,100,25,0,,0,2026-03-06 13:23:42.716887+00,Un voraz bocado que puede hacer retroceder al objetivo.
45,Gruñido,growl,normal,status,,100,40,0,,0,2026-03-06 13:23:11.641189+00,Dulce gruñido que reduce el Ataque del contrincante.
46,Rugido,roar,normal,status,,,20,-6,,0,2026-03-06 13:24:34.070096+00,"Se lleva al objetivo, que es cambiado por otro Pokémon. Si es un Pokémon salvaje, acaba el combate."
47,Canto,sing,normal,status,,55,15,0,SLP,0,2026-03-06 13:27:23.700614+00,Cancioncilla que hace dormir profundamente al objetivo.
48,Supersónico,supersonic,normal,status,,55,20,0,,0,2026-03-06 13:26:03.361428+00,Raras ondas sónicas que confunden al objetivo.
49,Bomba Sónica,sonic-boom,normal,special,,90,20,0,,0,2026-03-06 13:26:04.053924+00,Lanza ondas de choque que restan 20 PS al objetivo.
50,Anulación,disable,normal,status,,100,20,0,,0,2026-03-06 13:24:23.992449+00,Desactiva el último movimiento del objetivo durante cuatro turnos.
51,Ácido,acid,poison,special,40,100,30,0,,0,2026-03-06 13:44:29.880737+00,Rocía a los enemigos con un ácido corrosivo. Puede bajar la Defensa Especial.
52,Ascuas,ember,fire,special,40,100,25,0,BRN,10,2026-03-06 13:23:26.909+00,Ataca con llamas pequeñas que pueden causar quemaduras.
