pokemon_id,name,is_legendary,is_mythical,evolves_from_id,evolution_chain_url,growth_rate,created_at,gacha_tier
1,bulbasaur,false,false,,https://pokeapi.co/api/v2/evolution-chain/1/,medium-slow,2026-03-06 13:23:12.701737+00,4
2,ivysaur,false,false,1,https://pokeapi.co/api/v2/evolution-chain/1/,medium-slow,2026-03-06 13:23:17.109156+00,3
3,venusaur,false,false,2,https://pokeapi.co/api/v2/evolution-chain/1/,medium-slow,2026-03-06 13:23:22.360008+00,3
4,charmander,false,false,,https://pokeapi.co/api/v2/evolution-chain/2/,medium-slow,2026-03-06 13:23:28.672694+00,4
5,charmeleon,false,false,4,https://pokeapi.co/api/v2/evolution-chain/2/,medium-slow,2026-03-06 13:23:33.179571+00,3
6,charizard,false,false,5,https://pokeapi.co/api/v2/evolution-chain/2/,medium-slow,2026-03-06 13:23:38.468176+00,3
7,squirtle,false,false,,https://pokeapi.co/api/v2/evolution-chain/3/,medium-slow,2026-03-06 13:23:44.744234+00,4
8,wartortle,false,false,7,https://pokeapi.co/api/v2/evolution-chain/3/,medium-slow,2026-03-06 13:23:49.439195+00,3
9,blastoise,false,false,8,https://pokeapi.co/api/v2/evolution-chain/3/,medium-slow,2026-03-06 13:23:54.617208+00,3
10,caterpie,false,false,,https://pokeapi.co/api/v2/evolution-chain/4/,medium,2026-03-07 21:40:37.256934+00,3
11,metapod,false,false,10,https://pokeapi.co/api/v2/evolution-chain/4/,medium,2026-03-07 21:40:38.543511+00,3
12,butterfree,false,false,11,https://pokeapi.co/api/v2/evolution-chain/4/,medium,2026-03-07 21:40:45.584543+00,3
13,weedle,false,false,,https://pokeapi.co/api/v2/evolution-chain/5/,medium,2026-03-07 21:40:47.429472+00,3
14,kakuna,false,false,13,https://pokeapi.co/api/v2/evolution-chain/5/,medium,2026-03-07 21:40:48.605105+00,3
15,beedrill,false,false,14,https://pokeapi.co/api/v2/evolution-chain/5/,medium,2026-03-07 21:40:56.46981+00,3
16,pidgey,false,false,,https://pokeapi.co/api/v2/evolution-chain/6/,medium-slow,2026-03-07 21:41:02.212985+00,3
17,pidgeotto,false,false,16,https://pokeapi.co/api/v2/evolution-chain/6/,medium-slow,2026-03-07 21:41:06.746244+00,3
18,pidgeot,false,false,17,https://pokeapi.co/api/v2/evolution-chain/6/,medium-slow,2026-03-07 21:41:11.780414+00,3
19,rattata,false,false,,https://pokeapi.co/api/v2/evolution-chain/7/,medium,2026-03-07 21:41:16.544998+00,3
20,raticate,false,false,19,https://pokeapi.co/api/v2/evolution-chain/7/,medium,2026-03-07 21:41:23.255263+00,3
21,spearow,false,false,,https://pokeapi.co/api/v2/evolution-chain/8/,medium,2026-03-07 21:41:27.770829+00,3
22,fearow,false,false,21,https://pokeapi.co/api/v2/evolution-chain/8/,medium,2026-03-07 21:41:33.15289+00,3
